Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
58,UHS-Wilson Med Ctr,Central NY,Central NY,TAVR,2013-2015,38,0,0.00,4.19,0.00,0.00,10.94,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,TAVR,2013-2015,107,9,8.41,4.99,8.01,3.66,15.21,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,TAVR,2013-2015,144,5,3.47,5.55,2.97,0.96,6.94,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,Valve or Valve/CABG,2013-2015,668,27,4.04,2.89,4.25,2.80,6.18,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2013-2015,66,2,3.03,1.80,5.12,0.57,18.47,Rate not different than Statewide Rate
746,Bassett Medical Center,Capital District,Capital District,Valve or Valve/CABG,2013-2015,137,4,2.92,2.23,3.97,1.07,10.16,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,244,3,1.23,2.08,1.79,0.36,5.24,Rate not different than Statewide Rate
207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2013-2015,779,21,2.70,2.46,3.32,2.05,5.08,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,Valve or Valve/CABG,2013-2015,284,9,3.17,2.61,3.68,1.68,6.99,Rate not different than Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2013-2015,4,0,0.00,1.89,0.00,0.00,100.00,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2013-2015,132,6,4.55,2.68,5.15,1.88,11.20,Rate not different than Statewide Rate
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2013-2015,147,4,2.72,2.75,3.01,0.81,7.69,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,444,12,2.70,2.50,3.28,1.69,5.74,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Valve or Valve/CABG,2013-2015,416,6,1.44,3.75,1.16,0.43,2.54,Rate significantly lower than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,461,11,2.39,4.41,1.64,0.82,2.93,Rate significantly lower than Statewide Rate
213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,Valve or Valve/CABG,2013-2015,538,25,4.65,2.27,6.21,4.02,9.17,Rate significantly higher than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Valve or Valve/CABG,2013-2015,448,21,4.69,3.60,3.95,2.44,6.04,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Valve or Valve/CABG,2013-2015,340,12,3.53,4.09,2.62,1.35,4.57,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,229,13,5.68,3.06,5.63,3.00,9.63,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,2151,51,2.37,3.09,2.33,1.73,3.06,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,275,6,2.18,2.67,2.48,0.91,5.40,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2013-2015,879,26,2.96,3.53,2.54,1.66,3.72,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,180,2,1.11,3.68,0.92,0.10,3.30,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,2103,55,2.62,3.17,2.50,1.88,3.25,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Valve or Valve/CABG,2013-2015,101,3,2.97,2.38,3.79,0.76,11.07,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,1200,28,2.33,3.08,2.30,1.53,3.32,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,Valve or Valve/CABG,2013-2015,22129,671,3.03,3.03,3.03,,,Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2013-2015,1330,25,1.88,1.86,3.07,1.99,4.53,Rate not different than Statewide Rate
511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2013-2015,517,12,2.32,3.05,2.30,1.19,4.02,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2013-2015,1081,39,3.61,3.28,3.33,2.37,4.55,Rate not different than Statewide Rate
924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2013-2015,362,12,3.31,3.64,2.76,1.43,4.83,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Valve or Valve/CABG,2013-2015,171,4,2.34,2.78,2.55,0.69,6.53,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2013-2015,288,15,5.21,2.31,6.82,3.82,11.25,Rate significantly higher than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2013-2015,1474,52,3.53,3.18,3.36,2.51,4.41,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,Valve or Valve/CABG,2013-2015,1356,35,2.58,3.61,2.17,1.51,3.02,Rate significantly lower than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,Valve or Valve/CABG,2013-2015,869,33,3.80,3.09,3.73,2.57,5.24,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2013-2015,629,30,4.77,2.54,5.69,3.84,8.12,Rate significantly higher than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2013-2015,230,14,6.09,2.06,8.96,4.89,15.03,Rate significantly higher than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,90,10,11.11,3.24,10.41,4.98,19.14,Rate significantly higher than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2013-2015,669,25,3.74,3.33,3.40,2.20,5.02,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,Valve or Valve/CABG,2013-2015,71,3,4.23,2.43,5.27,1.06,15.40,Rate not different than Statewide Rate
135,UVM Health Network CVP,Capital District,Capital District,Valve or Valve/CABG,2013-2015,21,1,4.76,1.33,10.88,0.14,60.52,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2013-2015,436,5,1.15,2.76,1.26,0.41,2.94,Rate significantly lower than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2013-2015,309,9,2.91,3.64,2.43,1.11,4.61,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,All PCI,2013,693,15,2.16,1.52,1.63,0.91,2.69,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2013,412,2,0.49,1.52,0.37,0.04,1.32,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2013,364,1,0.27,1.67,0.19,0.00,1.05,Rate significantly lower than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,All PCI,2013,90,2,2.22,3.64,0.70,0.08,2.52,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2013,204,5,2.45,1.98,1.42,0.46,3.30,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,All PCI,2013,1735,29,1.67,1.20,1.59,1.06,2.28,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2013,128,3,2.34,1.27,2.12,0.43,6.18,Rate not different than Statewide Rate
135,Champ.Valley Phys Hosp,Capital District,Capital District,All PCI,2013,537,8,1.49,1.05,1.62,0.70,3.19,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,All PCI,2013,284,4,1.41,1.09,1.47,0.40,3.77,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,All PCI,2013,484,5,1.03,1.18,1.00,0.32,2.33,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2013,459,3,0.65,0.96,0.78,0.16,2.27,Rate not different than Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2013,29,0,0.00,1.43,0.00,0.00,10.13,Rate not different than Statewide Rate
599,Faxton - St. Lukes,Central NY,Central NY,All PCI,2013,276,5,1.81,1.18,1.76,0.57,4.10,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2013,223,2,0.90,1.00,1.02,0.11,3.69,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2013,594,16,2.69,1.53,2.02,1.15,3.28,Rate significantly higher than Statewide Rate
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,627,6,0.96,0.71,1.54,0.56,3.36,Rate not different than Statewide Rate
913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,478,3,0.63,0.91,0.78,0.16,2.29,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2013,297,6,2.02,1.57,1.47,0.54,3.19,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2013,1552,6,0.39,0.75,0.59,0.21,1.27,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2013,1695,14,0.83,0.92,1.02,0.56,1.72,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,All PCI,2013,270,5,1.85,2.58,0.82,0.26,1.91,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2013,1134,9,0.79,1.68,0.54,0.25,1.02,Rate significantly lower than Statewide Rate
213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,All PCI,2013,931,5,0.54,0.95,0.65,0.21,1.51,Rate not different than Statewide Rate
746,M I Bassett Hospital,Capital District,Capital District,All PCI,2013,432,5,1.16,0.96,1.37,0.44,3.20,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2013,707,11,1.56,1.00,1.77,0.88,3.17,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2013,527,2,0.38,1.43,0.30,0.03,1.10,Rate significantly lower than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2013,1610,20,1.24,0.95,1.49,0.91,2.31,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2013,4522,27,0.60,0.74,0.92,0.61,1.34,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,All PCI,2013,427,9,2.11,1.55,1.56,0.71,2.96,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,1683,14,0.83,1.22,0.78,0.43,1.31,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,All PCI,2013,1404,13,0.93,0.83,1.28,0.68,2.19,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2013,2541,29,1.14,1.25,1.05,0.70,1.50,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2013,597,7,1.17,0.98,1.37,0.55,2.82,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2013,1298,23,1.77,1.35,1.50,0.95,2.25,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,All PCI,2013,47965,548,1.14,1.14,1.14,,,Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2013,1319,7,0.53,0.61,0.99,0.40,2.03,Rate not different than Statewide Rate
66,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,All PCI,2013,25,0,0.00,0.69,0.00,0.00,24.21,Rate not different than Statewide Rate
699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2013,512,3,0.59,0.95,0.71,0.14,2.06,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2013,1569,21,1.34,1.04,1.46,0.91,2.24,Rate not different than Statewide Rate
756,Samaritan Hospital,Capital District,Capital District,All PCI,2013,210,3,1.43,0.69,2.36,0.48,6.91,Rate not different than Statewide Rate
527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,622,5,0.80,0.92,1.00,0.32,2.33,Rate not different than Statewide Rate
924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,705,11,1.56,1.16,1.53,0.76,2.74,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2013,958,17,1.77,1.15,1.76,1.03,2.82,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2013,133,2,1.50,1.46,1.17,0.13,4.24,Rate not different than Statewide Rate
943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,301,2,0.66,1.55,0.49,0.06,1.77,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2013,634,14,2.21,1.46,1.73,0.95,2.91,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,2289,18,0.79,1.10,0.82,0.48,1.29,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,All PCI,2013,2073,23,1.11,1.28,0.99,0.63,1.48,Rate not different than Statewide Rate
694,St. Lukes Cornwall Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2013,263,3,1.14,1.42,0.92,0.18,2.68,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,All PCI,2013,707,11,1.56,1.26,1.41,0.70,2.52,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2013,974,13,1.33,1.26,1.21,0.64,2.06,Rate not different than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,All PCI,2013,672,12,1.79,1.66,1.23,0.64,2.15,Rate not different than Statewide Rate
471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2013,307,10,3.26,1.27,2.93,1.40,5.38,Rate significantly higher than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2013,336,7,2.08,1.44,1.66,0.66,3.41,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,1413,17,1.20,1.53,0.90,0.52,1.44,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2013,287,6,2.09,1.42,1.68,0.61,3.65,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2013,643,8,1.24,1.20,1.18,0.51,2.33,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2013,436,8,1.83,1.40,1.50,0.65,2.95,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2013,332,2,0.60,1.46,0.47,0.05,1.70,Rate not different than Statewide Rate
511,Winthrop-Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2013,1001,11,1.10,1.20,1.04,0.52,1.87,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,CABG,2013,205,3,1.46,1.80,1.50,0.30,4.37,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,CABG,2013,69,2,2.90,1.69,3.15,0.35,11.36,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,CABG,2013,84,0,0.00,1.29,0.00,0.00,6.20,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,CABG,2013,448,16,3.57,1.78,3.68,2.10,5.97,Rate significantly higher than Statewide Rate
135,Champ.Valley Phys Hosp,Capital District,Capital District,CABG,2013,67,2,2.99,1.22,4.51,0.51,16.28,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,CABG,2013,177,2,1.13,1.50,1.38,0.16,4.99,Rate not different than Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,CABG,2013,22,0,0.00,1.49,0.00,0.00,20.62,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2013,108,3,2.78,1.79,2.86,0.57,8.34,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2013,256,5,1.95,1.61,2.23,0.72,5.19,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2013,173,3,1.73,2.68,1.19,0.24,3.47,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,CABG,2013,267,3,1.12,2.26,0.91,0.18,2.67,Rate not different than Statewide Rate
213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,CABG,2013,326,7,2.15,1.66,2.37,0.95,4.89,Rate not different than Statewide Rate
746,M I Bassett Hospital,Capital District,Capital District,CABG,2013,79,0,0.00,2.16,0.00,0.00,3.94,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,CABG,2013,190,3,1.58,1.79,1.62,0.33,4.73,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2013,174,2,1.15,1.54,1.37,0.15,4.96,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,CABG,2013,174,3,1.72,1.50,2.11,0.42,6.17,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2013,385,5,1.30,1.33,1.80,0.58,4.19,Rate not different than Statewide Rate
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,CABG,2013,116,2,1.72,2.07,1.53,0.17,5.51,Rate not different than Statewide Rate
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,CABG,2013,290,8,2.76,1.98,2.55,1.10,5.03,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,CABG,2013,97,2,2.06,1.34,2.82,0.32,10.19,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2013,419,5,1.19,1.99,1.10,0.36,2.57,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,CABG,2013,90,1,1.11,1.42,1.44,0.02,7.99,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,CABG,2013,176,2,1.14,1.20,1.74,0.20,6.28,Rate not different than Statewide Rate
0,NYS - All Hospitals,New York State,New York State,CABG,2013,8168,150,1.84,1.84,1.84,,,Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2013,135,1,0.74,0.98,1.38,0.02,7.70,Rate not different than Statewide Rate
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2013,306,5,1.63,1.81,1.65,0.53,3.86,Rate not different than Statewide Rate
924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2013,163,5,3.07,2.65,2.12,0.68,4.95,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,CABG,2013,238,4,1.68,1.76,1.75,0.47,4.48,Rate not different than Statewide Rate
598,St. Elizabeth Med Ctr,Central NY,Central NY,CABG,2013,211,7,3.32,2.12,2.88,1.15,5.93,Rate not different than Statewide Rate
563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2013,658,11,1.67,2.00,1.54,0.77,2.75,Rate not different than Statewide Rate
630,St. Josephs Hospital,Central NY,Central NY,CABG,2013,391,6,1.53,2.57,1.10,0.40,2.38,Rate not different than Statewide Rate
5,St. Peters Hospital,Capital District,Capital District,CABG,2013,302,7,2.32,2.27,1.87,0.75,3.86,Rate not different than Statewide Rate
413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2013,232,7,3.02,1.88,2.95,1.18,6.08,Rate not different than Statewide Rate
58,UHS-Wilson Med Ctr,Central NY,Central NY,CABG,2013,149,6,4.03,1.98,3.74,1.37,8.14,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2013,51,2,3.92,1.41,5.09,0.57,18.39,Rate not different than Statewide Rate
245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,CABG,2013,243,4,1.65,1.79,1.69,0.46,4.33,Rate not different than Statewide Rate
635,Univ. Hosp-Upstate,Central NY,Central NY,CABG,2013,70,2,2.86,2.11,2.49,0.28,8.98,Rate not different than Statewide Rate
181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2013,166,1,0.60,1.48,0.75,0.01,4.15,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2013,231,2,0.87,1.60,0.99,0.11,3.58,Rate not different than Statewide Rate
511,Winthrop-Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,CABG,2013,230,1,0.43,1.52,0.52,0.01,2.91,Rate not different than Statewide Rate
1,Albany Med. Ctr,Capital District,Capital District,Non-Emergency PCI,2013,509,6,1.18,0.76,1.15,0.42,2.50,Rate not different than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2013,322,1,0.31,0.92,0.25,0.00,1.38,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2013,262,1,0.38,1.12,0.25,0.00,1.40,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2013,22,1,4.55,0.97,3.47,0.05,19.32,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2013,130,0,0.00,1.15,0.00,0.00,1.81,Rate not different than Statewide Rate
207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2013,1303,12,0.92,0.75,0.91,0.47,1.58,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Non-Emergency PCI,2013,74,2,2.70,0.79,2.54,0.29,9.18,Rate not different than Statewide Rate
135,Champ.Valley Phys Hosp,Capital District,Capital District,Non-Emergency PCI,2013,402,3,0.75,0.74,0.74,0.15,2.17,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2013,208,1,0.48,0.65,0.54,0.01,3.03,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,Non-Emergency PCI,2013,315,1,0.32,0.51,0.46,0.01,2.55,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2013,321,1,0.31,0.44,0.53,0.01,2.93,Rate not different than Statewide Rate
210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2013,18,0,0.00,0.57,0.00,0.00,26.55,Rate not different than Statewide Rate
599,Faxton - St. Lukes,Central NY,Central NY,Non-Emergency PCI,2013,227,2,0.88,0.90,0.73,0.08,2.62,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2013,148,1,0.68,0.39,1.28,0.02,7.14,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2013,441,9,2.04,1.06,1.42,0.65,2.70,Rate not different than Statewide Rate
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2013,546,3,0.55,0.45,0.91,0.18,2.66,Rate not different than Statewide Rate
913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2013,386,2,0.52,0.67,0.57,0.06,2.06,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2013,136,3,2.21,0.90,1.81,0.36,5.28,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2013,1462,4,0.27,0.59,0.34,0.09,0.88,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2013,1492,11,0.74,0.70,0.78,0.39,1.39,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2013,201,0,0.00,0.85,0.00,0.00,1.58,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2013,889,5,0.56,0.90,0.46,0.15,1.07,Rate not different than Statewide Rate
213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2013,700,2,0.29,0.54,0.39,0.04,1.41,Rate not different than Statewide Rate
746,M I Bassett Hospital,Capital District,Capital District,Non-Emergency PCI,2013,348,3,0.86,0.57,1.12,0.23,3.28,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2013,581,4,0.69,0.71,0.72,0.19,1.84,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2013,405,0,0.00,1.06,0.00,0.00,0.63,Rate significantly lower than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Non-Emergency PCI,2013,1421,12,0.84,0.64,0.97,0.50,1.69,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2013,4360,22,0.50,0.66,0.56,0.35,0.85,Rate not different than Statewide Rate
