uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
TO,OUTRAS,OUTRO,"30 - 39",M,3
TO,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
TO,OUTRAS,VIA_PUBLICA,"30 - 39",M,3
TO,COVID,HOSPITAL,"30 - 39",M,1
TO,INDETERMINADA,HOSPITAL,"30 - 39",M,1
TO,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,1
TO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
TO,PNEUMONIA,DOMICILIO,"30 - 39",F,1
TO,PNEUMONIA,HOSPITAL,"30 - 39",F,5
TO,PNEUMONIA,HOSPITAL,"30 - 39",M,4
TO,SEPTICEMIA,HOSPITAL,"30 - 39",F,3
TO,SEPTICEMIA,HOSPITAL,"30 - 39",M,3
TO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
TO,SRAG,HOSPITAL,"30 - 39",M,1
AC,OUTRAS,DOMICILIO,"40 - 49",F,2
AC,OUTRAS,DOMICILIO,"40 - 49",M,13
AC,OUTRAS,HOSPITAL,"40 - 49",F,10
AC,OUTRAS,HOSPITAL,"40 - 49",M,21
AC,OUTRAS,OUTRO,"40 - 49",F,1
AC,OUTRAS,OUTRO,"40 - 49",M,5
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AC,OUTRAS,VIA_PUBLICA,"40 - 49",M,6
AC,COVID,DOMICILIO,"40 - 49",M,1
AC,INDETERMINADA,DOMICILIO,"40 - 49",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,3
AC,PNEUMONIA,HOSPITAL,"40 - 49",F,8
AC,PNEUMONIA,HOSPITAL,"40 - 49",M,7
AC,SEPTICEMIA,HOSPITAL,"40 - 49",F,7
AC,SEPTICEMIA,HOSPITAL,"40 - 49",M,9
AL,OUTRAS,DOMICILIO,"40 - 49",F,21
AL,OUTRAS,DOMICILIO,"40 - 49",M,42
AL,OUTRAS,HOSPITAL,"40 - 49",F,67
AL,OUTRAS,HOSPITAL,"40 - 49",M,84
AL,OUTRAS,IGNORADO,"40 - 49",F,1
AL,OUTRAS,IGNORADO,"40 - 49",M,3
AL,OUTRAS,OUTRO,"40 - 49",F,2
AL,OUTRAS,OUTRO,"40 - 49",M,10
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,8
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,12
AL,OUTRAS,VIA_PUBLICA,"40 - 49",F,1
AL,OUTRAS,VIA_PUBLICA,"40 - 49",M,30
AL,COVID,HOSPITAL,"40 - 49",F,1
AL,INDETERMINADA,DOMICILIO,"40 - 49",F,1
AL,INDETERMINADA,DOMICILIO,"40 - 49",M,2
AL,INDETERMINADA,HOSPITAL,"40 - 49",M,2
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,6
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,6
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,11
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,5
AL,PNEUMONIA,DOMICILIO,"40 - 49",F,2
AL,PNEUMONIA,HOSPITAL,"40 - 49",F,20
AL,PNEUMONIA,HOSPITAL,"40 - 49",M,25
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AL,SEPTICEMIA,DOMICILIO,"40 - 49",F,1
AL,SEPTICEMIA,DOMICILIO,"40 - 49",M,3
AL,SEPTICEMIA,HOSPITAL,"40 - 49",F,39
AL,SEPTICEMIA,HOSPITAL,"40 - 49",M,29
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AL,SRAG,HOSPITAL,"40 - 49",F,1
AL,SRAG,HOSPITAL,"40 - 49",M,1
AM,OUTRAS,DOMICILIO,"40 - 49",F,20
AM,OUTRAS,DOMICILIO,"40 - 49",M,32
AM,OUTRAS,HOSPITAL,"40 - 49",F,75
AM,OUTRAS,HOSPITAL,"40 - 49",M,80
AM,OUTRAS,OUTRO,"40 - 49",F,4
AM,OUTRAS,OUTRO,"40 - 49",M,18
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
AM,OUTRAS,VIA_PUBLICA,"40 - 49",F,2
AM,OUTRAS,VIA_PUBLICA,"40 - 49",M,14
AM,COVID,HOSPITAL,"40 - 49",F,1
AM,COVID,HOSPITAL,"40 - 49",M,2
AM,INDETERMINADA,DOMICILIO,"40 - 49",M,1
AM,INDETERMINADA,OUTRO,"40 - 49",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",I,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,14
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,13
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
AM,PNEUMONIA,HOSPITAL,"40 - 49",F,18
AM,PNEUMONIA,HOSPITAL,"40 - 49",M,19
AM,PNEUMONIA,OUTRO,"40 - 49",F,1
AM,PNEUMONIA,OUTRO,"40 - 49",M,1
AM,SEPTICEMIA,HOSPITAL,"40 - 49",F,19
AM,SEPTICEMIA,HOSPITAL,"40 - 49",M,35
AM,SRAG,HOSPITAL,"40 - 49",F,1
AM,SRAG,HOSPITAL,"40 - 49",M,1
AP,OUTRAS,DOMICILIO,"40 - 49",F,7
AP,OUTRAS,DOMICILIO,"40 - 49",M,3
AP,OUTRAS,HOSPITAL,"40 - 49",F,11
AP,OUTRAS,HOSPITAL,"40 - 49",M,15
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,5
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,3
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
AP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AP,PNEUMONIA,HOSPITAL,"40 - 49",F,5
AP,PNEUMONIA,HOSPITAL,"40 - 49",M,7
AP,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
AP,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
AP,SEPTICEMIA,DOMICILIO,"40 - 49",F,1
AP,SEPTICEMIA,HOSPITAL,"40 - 49",F,10
AP,SEPTICEMIA,HOSPITAL,"40 - 49",M,6
BA,OUTRAS,DOMICILIO,"40 - 49",F,101
BA,OUTRAS,DOMICILIO,"40 - 49",M,220
BA,OUTRAS,HOSPITAL,"40 - 49",F,272
BA,OUTRAS,HOSPITAL,"40 - 49",M,327
BA,OUTRAS,IGNORADO,"40 - 49",F,1
BA,OUTRAS,IGNORADO,"40 - 49",M,5
BA,OUTRAS,OUTRO,"40 - 49",F,11
BA,OUTRAS,OUTRO,"40 - 49",M,42
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,49
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,50
BA,OUTRAS,VIA_PUBLICA,"40 - 49",F,9
BA,OUTRAS,VIA_PUBLICA,"40 - 49",M,39
BA,COVID,HOSPITAL,"40 - 49",M,4
BA,INDETERMINADA,DOMICILIO,"40 - 49",F,1
BA,INDETERMINADA,DOMICILIO,"40 - 49",M,4
BA,INDETERMINADA,HOSPITAL,"40 - 49",M,1
BA,INDETERMINADA,OUTRO,"40 - 49",M,1
BA,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
BA,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,6
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,10
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,50
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,54
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",F,1
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,3
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
BA,PNEUMONIA,DOMICILIO,"40 - 49",F,2
BA,PNEUMONIA,DOMICILIO,"40 - 49",M,4
BA,PNEUMONIA,HOSPITAL,"40 - 49",F,44
BA,PNEUMONIA,HOSPITAL,"40 - 49",M,84
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
BA,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,1
BA,SEPTICEMIA,DOMICILIO,"40 - 49",M,3
BA,SEPTICEMIA,HOSPITAL,"40 - 49",F,115
BA,SEPTICEMIA,HOSPITAL,"40 - 49",I,1
BA,SEPTICEMIA,HOSPITAL,"40 - 49",M,116
BA,SEPTICEMIA,IGNORADO,"40 - 49",M,2
BA,SEPTICEMIA,OUTRO,"40 - 49",F,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,7
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,12
BA,SRAG,HOSPITAL,"40 - 49",F,3
BA,SRAG,HOSPITAL,"40 - 49",M,3
CE,OUTRAS,DOMICILIO,"40 - 49",F,44
CE,OUTRAS,DOMICILIO,"40 - 49",M,112
CE,OUTRAS,HOSPITAL,"40 - 49",F,111
CE,OUTRAS,HOSPITAL,"40 - 49",M,194
CE,OUTRAS,IGNORADO,"40 - 49",F,2
CE,OUTRAS,IGNORADO,"40 - 49",M,13
CE,OUTRAS,OUTRO,"40 - 49",F,8
CE,OUTRAS,OUTRO,"40 - 49",M,43
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,10
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,25
CE,OUTRAS,VIA_PUBLICA,"40 - 49",F,3
CE,OUTRAS,VIA_PUBLICA,"40 - 49",M,45
CE,COVID,HOSPITAL,"40 - 49",M,2
CE,COVID,OUTRO,"40 - 49",M,1
CE,INDETERMINADA,DOMICILIO,"40 - 49",M,3
CE,INDETERMINADA,HOSPITAL,"40 - 49",F,1
CE,INDETERMINADA,HOSPITAL,"40 - 49",M,2
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,7
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,7
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,35
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,30
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,3
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
CE,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,1
CE,PNEUMONIA,DOMICILIO,"40 - 49",F,3
CE,PNEUMONIA,DOMICILIO,"40 - 49",M,4
CE,PNEUMONIA,HOSPITAL,"40 - 49",F,33
CE,PNEUMONIA,HOSPITAL,"40 - 49",M,58
CE,PNEUMONIA,IGNORADO,"40 - 49",M,1
CE,PNEUMONIA,OUTRO,"40 - 49",F,1
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,6
CE,SEPTICEMIA,DOMICILIO,"40 - 49",F,3
CE,SEPTICEMIA,DOMICILIO,"40 - 49",M,5
CE,SEPTICEMIA,HOSPITAL,"40 - 49",F,73
CE,SEPTICEMIA,HOSPITAL,"40 - 49",M,85
CE,SEPTICEMIA,OUTRO,"40 - 49",F,1
CE,SEPTICEMIA,OUTRO,"40 - 49",M,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,7
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,12
CE,SRAG,DOMICILIO,"40 - 49",F,1
CE,SRAG,HOSPITAL,"40 - 49",M,1
CE,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
DF,OUTRAS,DOMICILIO,"40 - 49",F,11
DF,OUTRAS,DOMICILIO,"40 - 49",M,37
DF,OUTRAS,HOSPITAL,"40 - 49",F,80
DF,OUTRAS,HOSPITAL,"40 - 49",M,102
DF,OUTRAS,OUTRO,"40 - 49",F,5
DF,OUTRAS,OUTRO,"40 - 49",M,9
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,4
DF,OUTRAS,VIA_PUBLICA,"40 - 49",M,8
DF,COVID,HOSPITAL,"40 - 49",F,2
DF,COVID,HOSPITAL,"40 - 49",M,1
DF,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
DF,INDETERMINADA,HOSPITAL,"40 - 49",F,2
DF,INDETERMINADA,HOSPITAL,"40 - 49",M,4
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,2
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,6
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,15
DF,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
DF,PNEUMONIA,HOSPITAL,"40 - 49",F,29
DF,PNEUMONIA,HOSPITAL,"40 - 49",M,35
DF,PNEUMONIA,OUTRO,"40 - 49",M,1
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
DF,SEPTICEMIA,HOSPITAL,"40 - 49",F,29
DF,SEPTICEMIA,HOSPITAL,"40 - 49",M,32
DF,SEPTICEMIA,OUTRO,"40 - 49",F,3
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
DF,SRAG,HOSPITAL,"40 - 49",F,1
ES,OUTRAS,DOMICILIO,"40 - 49",F,32
ES,OUTRAS,DOMICILIO,"40 - 49",M,50
ES,OUTRAS,HOSPITAL,"40 - 49",F,78
ES,OUTRAS,HOSPITAL,"40 - 49",M,94
ES,OUTRAS,IGNORADO,"40 - 49",F,1
ES,OUTRAS,OUTRO,"40 - 49",F,5
ES,OUTRAS,OUTRO,"40 - 49",M,23
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,7
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,10
ES,OUTRAS,VIA_PUBLICA,"40 - 49",F,3
ES,OUTRAS,VIA_PUBLICA,"40 - 49",M,26
ES,COVID,HOSPITAL,"40 - 49",F,2
ES,COVID,HOSPITAL,"40 - 49",M,1
ES,INDETERMINADA,HOSPITAL,"40 - 49",M,1
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,3
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,5
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,13
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,8
ES,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
ES,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",F,1
ES,PNEUMONIA,DOMICILIO,"40 - 49",M,3
ES,PNEUMONIA,HOSPITAL,"40 - 49",F,26
ES,PNEUMONIA,HOSPITAL,"40 - 49",M,40
ES,PNEUMONIA,OUTRO,"40 - 49",F,1
ES,PNEUMONIA,OUTRO,"40 - 49",M,2
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
ES,SEPTICEMIA,DOMICILIO,"40 - 49",F,2
ES,SEPTICEMIA,DOMICILIO,"40 - 49",M,2
ES,SEPTICEMIA,HOSPITAL,"40 - 49",F,39
ES,SEPTICEMIA,HOSPITAL,"40 - 49",M,37
ES,SRAG,HOSPITAL,"40 - 49",F,1
GO,OUTRAS,DOMICILIO,"40 - 49",F,23
GO,OUTRAS,DOMICILIO,"40 - 49",M,67
GO,OUTRAS,HOSPITAL,"40 - 49",F,119
GO,OUTRAS,HOSPITAL,"40 - 49",M,142
GO,OUTRAS,IGNORADO,"40 - 49",F,6
GO,OUTRAS,IGNORADO,"40 - 49",M,19
GO,OUTRAS,OUTRO,"40 - 49",F,19
GO,OUTRAS,OUTRO,"40 - 49",M,47
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,41
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,31
GO,OUTRAS,VIA_PUBLICA,"40 - 49",F,5
GO,OUTRAS,VIA_PUBLICA,"40 - 49",M,31
GO,COVID,HOSPITAL,"40 - 49",F,2
GO,COVID,HOSPITAL,"40 - 49",M,1
GO,COVID,OUTRO,"40 - 49",F,1
GO,COVID,OUTRO,"40 - 49",M,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
GO,INDETERMINADA,HOSPITAL,"40 - 49",F,1
GO,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,4
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,10
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,21
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,12
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,2
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,8
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,4
GO,PNEUMONIA,DOMICILIO,"40 - 49",M,4
GO,PNEUMONIA,HOSPITAL,"40 - 49",F,26
GO,PNEUMONIA,HOSPITAL,"40 - 49",M,47
GO,PNEUMONIA,IGNORADO,"40 - 49",F,1
GO,PNEUMONIA,IGNORADO,"40 - 49",M,1
GO,PNEUMONIA,OUTRO,"40 - 49",M,2
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,6
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,13
GO,SEPTICEMIA,DOMICILIO,"40 - 49",F,1
GO,SEPTICEMIA,DOMICILIO,"40 - 49",M,2
GO,SEPTICEMIA,HOSPITAL,"40 - 49",F,52
GO,SEPTICEMIA,HOSPITAL,"40 - 49",M,53
GO,SEPTICEMIA,IGNORADO,"40 - 49",F,2
GO,SEPTICEMIA,IGNORADO,"40 - 49",M,1
GO,SEPTICEMIA,OUTRO,"40 - 49",M,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,5
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
GO,SRAG,HOSPITAL,"40 - 49",F,1
GO,SRAG,HOSPITAL,"40 - 49",M,1
GO,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
MA,OUTRAS,DOMICILIO,"40 - 49",F,27
MA,OUTRAS,DOMICILIO,"40 - 49",M,35
MA,OUTRAS,HOSPITAL,"40 - 49",F,116
MA,OUTRAS,HOSPITAL,"40 - 49",M,125
MA,OUTRAS,IGNORADO,"40 - 49",F,1
MA,OUTRAS,IGNORADO,"40 - 49",M,1
MA,OUTRAS,OUTRO,"40 - 49",F,5
MA,OUTRAS,OUTRO,"40 - 49",M,14
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
MA,OUTRAS,VIA_PUBLICA,"40 - 49",F,1
MA,OUTRAS,VIA_PUBLICA,"40 - 49",M,12
MA,INDETERMINADA,DOMICILIO,"40 - 49",F,1
MA,INDETERMINADA,DOMICILIO,"40 - 49",M,3
MA,INDETERMINADA,HOSPITAL,"40 - 49",F,1
MA,INDETERMINADA,HOSPITAL,"40 - 49",M,1
MA,INDETERMINADA,IGNORADO,"40 - 49",M,1
MA,INDETERMINADA,OUTRO,"40 - 49",M,3
MA,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,5
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,2
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,25
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,32
MA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,2
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
MA,PNEUMONIA,DOMICILIO,"40 - 49",F,3
MA,PNEUMONIA,HOSPITAL,"40 - 49",F,32
MA,PNEUMONIA,HOSPITAL,"40 - 49",M,26
MA,PNEUMONIA,IGNORADO,"40 - 49",M,1
MA,SEPTICEMIA,DOMICILIO,"40 - 49",M,4
MA,SEPTICEMIA,HOSPITAL,"40 - 49",F,34
MA,SEPTICEMIA,HOSPITAL,"40 - 49",M,36
MA,SEPTICEMIA,IGNORADO,"40 - 49",M,1
MA,SEPTICEMIA,OUTRO,"40 - 49",F,1
MA,SEPTICEMIA,OUTRO,"40 - 49",M,1
MA,SRAG,DOMICILIO,"40 - 49",M,1
MA,SRAG,HOSPITAL,"40 - 49",F,4
MA,SRAG,HOSPITAL,"40 - 49",M,1
MG,OUTRAS,DOMICILIO,"40 - 49",F,141
MG,OUTRAS,DOMICILIO,"40 - 49",I,1
MG,OUTRAS,DOMICILIO,"40 - 49",M,293
MG,OUTRAS,HOSPITAL,"40 - 49",F,429
MG,OUTRAS,HOSPITAL,"40 - 49",M,536
MG,OUTRAS,IGNORADO,"40 - 49",F,6
MG,OUTRAS,IGNORADO,"40 - 49",I,7
MG,OUTRAS,IGNORADO,"40 - 49",M,15
MG,OUTRAS,OUTRO,"40 - 49",F,22
MG,OUTRAS,OUTRO,"40 - 49",M,74
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,51
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,70
MG,OUTRAS,VIA_PUBLICA,"40 - 49",F,11
MG,OUTRAS,VIA_PUBLICA,"40 - 49",M,71
MG,COVID,DOMICILIO,"40 - 49",M,1
MG,COVID,HOSPITAL,"40 - 49",F,5
MG,COVID,HOSPITAL,"40 - 49",M,6
MG,INDETERMINADA,DOMICILIO,"40 - 49",F,4
MG,INDETERMINADA,DOMICILIO,"40 - 49",M,24
MG,INDETERMINADA,HOSPITAL,"40 - 49",F,5
MG,INDETERMINADA,HOSPITAL,"40 - 49",M,5
MG,INDETERMINADA,IGNORADO,"40 - 49",I,1
MG,INDETERMINADA,OUTRO,"40 - 49",F,2
MG,INDETERMINADA,OUTRO,"40 - 49",M,3
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
MG,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,4
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,9
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,14
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,68
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,85
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",F,1
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",I,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",I,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,9
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,12
MG,PNEUMONIA,DOMICILIO,"40 - 49",F,1
MG,PNEUMONIA,DOMICILIO,"40 - 49",M,7
MG,PNEUMONIA,HOSPITAL,"40 - 49",F,97
MG,PNEUMONIA,HOSPITAL,"40 - 49",M,164
MG,PNEUMONIA,IGNORADO,"40 - 49",F,2
MG,PNEUMONIA,IGNORADO,"40 - 49",M,1
MG,PNEUMONIA,OUTRO,"40 - 49",F,1
MG,PNEUMONIA,OUTRO,"40 - 49",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,5
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,10
MG,SEPTICEMIA,DOMICILIO,"40 - 49",M,1
MG,SEPTICEMIA,HOSPITAL,"40 - 49",F,182
MG,SEPTICEMIA,HOSPITAL,"40 - 49",M,247
MG,SEPTICEMIA,IGNORADO,"40 - 49",F,2
MG,SEPTICEMIA,IGNORADO,"40 - 49",M,3
MG,SEPTICEMIA,OUTRO,"40 - 49",F,3
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,6
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,8
MG,SRAG,HOSPITAL,"40 - 49",F,3
MG,SRAG,HOSPITAL,"40 - 49",M,10
MG,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
MS,OUTRAS,DOMICILIO,"40 - 49",F,23
MS,OUTRAS,DOMICILIO,"40 - 49",M,32
MS,OUTRAS,HOSPITAL,"40 - 49",F,59
MS,OUTRAS,HOSPITAL,"40 - 49",M,59
MS,OUTRAS,OUTRO,"40 - 49",F,4
